step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
307,TRANSFER,1041019.53,C909765793,0.0,0.0,C962371265,1416920.22,2457939.74,0,0
282,TRANSFER,236609.03,C443589367,12101.0,0.0,C841341603,237540.91,474149.94,0,0
330,CASH_OUT,118814.36,C1414805883,21141.0,0.0,C2002662291,4773411.89,4892226.25,0,0
138,CASH_OUT,155087.39,C426684924,0.0,0.0,C1893297831,550545.18,705632.57,0,0
154,CASH_OUT,282491.57,C508773714,887.0,0.0,C320430138,299215.18,581706.76,0,0
393,CASH_OUT,416603.97,C1226878952,15323.21,0.0,C1705155675,958402.39,1375006.36,0,0
161,TRANSFER,262702.06,C339945574,50008.0,0.0,C620558783,260251.5,522953.55,0,0
372,CASH_OUT,213291.18,C223580901,0.0,0.0,C746944193,519599.81,732890.99,0,0
130,CASH_OUT,33908.7,C684471448,0.0,0.0,C2012634616,75223.12,109131.82,0,0
395,CASH_OUT,212749.26,C1711915074,0.0,0.0,C1209957098,5006840.08,5219589.33,0,0
37,CASH_OUT,54942.73,C1391507965,0.0,0.0,C738298898,65443.93,120386.67,0,0
160,CASH_OUT,253678.79,C1139725943,449.0,0.0,C1610961869,573283.94,826962.73,0,0
656,CASH_OUT,186733.34,C809935345,31498.0,0.0,C1272362781,23287.42,210020.76,0,0
163,CASH_OUT,214879.89,C377987084,120299.0,0.0,C153372268,2799048.0,3013927.89,0,0
348,CASH_OUT,117905.54,C234175417,17.0,0.0,C1702188824,1488195.77,1606101.32,0,0
405,TRANSFER,552713.91,C197452206,0.0,0.0,C1961447158,967136.1,1519850.01,0,0
354,CASH_OUT,28953.12,C22635826,16665.0,0.0,C2094428735,0.0,28953.12,0,0
256,CASH_OUT,139350.1,C617651485,175837.0,36486.9,C715925333,0.0,139350.1,0,0
19,CASH_OUT,152393.8,C737007752,431.0,0.0,C1060758741,4039745.24,4192139.05,0,0
183,CASH_OUT,159027.59,C1844729859,0.0,0.0,C611510118,1512290.17,1671317.76,0,0
137,CASH_OUT,172702.31,C1829363603,0.0,0.0,C1701261765,330254.43,502956.74,0,0
188,CASH_OUT,108578.25,C870339471,0.0,0.0,C1892646174,4819010.0,4927588.25,0,0
